ENTITY	Currency	Alphabetic Code	Numeric Code	Minor unit	Fund
AFGHANISTAN	Afghani	AFN	971	2	
ANGOLA	Kwanza	AOA	973	2	
ARGENTINA	Argentine Peso	ARS	032	2	
AUSTRALIA	Australian Dollar	AUD	036	2	
BRAZIL	Brazilian Real	BRL	986	2	
CAMBODIA	Riel	KHR	116	2	
CANADA	Canadian Dollar	CAD	124	2	
CHINA	Yuan Renminbi	CNY	156	2	
COLOMBIA	Colombian Peso	COP	170	2	
CZECHIA	Czech Koruna	CZK	203	2	
DENMARK	Danish Krone	DKK	208	2	
EGYPT	Egyptian Pound	EGP	818	2	
EUROPEAN UNION	Euro	EUR	978	2	
HUNGARY	Forint	HUF	348	2	
ICELAND	Iceland Krona	ISK	352	0	
INDIA	Indian Rupee	INR	356	2	
INDONESIA	Rupiah	IDR	360	2	
IRAN (ISLAMIC REPUBLIC OF)	Iranian Rial	IRR	364	2	
IRAQ	Iraqi Dinar	IQD	368	3	
ISRAEL	New Israeli Sheqel	ILS	376	2	
JAPAN	Yen	JPY	392	0	
KOREA (THE REPUBLIC OF)	Won	KRW	410	0	
KUWAIT	Kuwaiti Dinar	KWD	414	3	
LEBANON	Lebanese Pound	LBP	422	2	
LIBERIA	Liberian Dollar	LRD	430	2	
LIBYA	Libyan Dinar	LYD	434	3	
MEXICO	Mexican Peso	MXN	484	2	
MONGOLIA	Tugrik	MNT	496	2	
MOROCCO	Moroccan Dirham	MAD	504	2	
MYANMAR	Kyat	MMK	104	2	
NEPAL	Nepalese Rupee	NPR	524	2	
NEW ZEALAND	New Zealand Dollar	NZD	554	2	
NORWAY	Norwegian Krone	NOK	578	2	
PAKISTAN	Pakistan Rupee	PKR	586	2	
PARAGUAY	Guarani	PYG	600	0	
PERU	Sol	PEN	604	2	
PHILIPPINES (THE)	Philippine Peso	PHP	608	2	
POLAND	Zloty	PLN	985	2	
RUSSIAN FEDERATION (THE)	Russian Ruble	RUB	643	2	
SERBIA	Serbian Dinar	RSD	941	2	
SOLOMON ISLANDS	Solomon Islands Dollar	SBD	090	2	
SOMALIA	Somali Shilling	SOS	706	2	
SOUTH AFRICA	Rand	ZAR	710	2	
SRI LANKA	Sri Lanka Rupee	LKR	144	2	
SWEDEN	Swedish Krona	SEK	752	2	
THAILAND	Baht	THB	764	2	
TUNISIA	Tunisian Dinar	TND	788	3	
TÜRKİYE	Turkish Lira	TRY	949	2	
UGANDA	Uganda Shilling	UGX	800	0	
UKRAINE	Hryvnia	UAH	980	2	
UNITED STATES OF AMERICA (THE)	US Dollar	USD	840	2	
URUGUAY	Peso Uruguayo	UYU	858	2	
UZBEKISTAN	Uzbekistan Sum	UZS	860	2	
VIET NAM	Dong	VND	704	0	
